,troll,mentions,tweet
180,amandavgreen,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #BadRejections
what these United States of America are going to do to unfit unqualified unacceptable @realDonaldTrump &amp; his…"
181,mr_clampin,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
182,hellieedwards,"[""annogalactic""]",RT @AnnoGalactic: I'm bored with the election. When's Kanye vs Trump start?
183,dickyirwin,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
184,amandavgreen,"[""therealezway""]","RT @therealezway: Chris Wallace has vowed not to fact-check this debate, which means that Trump has a ridiculous advantage"
185,calebpaar,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
186,kathiemrr,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
187,curtisbigman,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
188,aiden7757,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
189,dannythehappies,"[""realdonaldtrump"",""geffgefferson1"",""remhq"",""midnight""]","RT @GeffGefferson1: #ImVotingBecause If @realDonaldTrump Wins...
@midnight 
@remhq 
https://t.co/optiOnvqSs"
190,giselleevns,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
191,chrixmorgan,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MakeMeHateYouInOnePhrase: Hillary Clinton is a real woman, not a robot"
192,heyheyhailey,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
193,brightandglory,"[""chiefplan1""]","RT @chiefplan1: Nice fantasy if true, but he embarrasses us daily to allies &amp; aids &amp; comforts enemies! Liar! SHAME! 
Unstable!Unfit! https:…"
194,dickyirwin,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie-racist facist xenophobe misogynist predator! UNFIT
Deplorable &amp; irredeemable!
Support him-
don't… "
195,traceyhappymom,"[""theclobra""]","RT @theclobra: Division or Unity, Your Choice #ElectionDayIn5Words #StrongerTogether #ImWithHer"
196,cassieweltch,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
197,worldofhashtags,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
198,hipppo_,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
199,dickyirwin,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
200,ilikebigbuttand,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
201,lynsrodriguez,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
202,chrixmorgan,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
203,kencannone,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
204,traceyhappymom,"[""theclobra""]",RT @theclobra: How about you apologize for all of the lies and predictions you made regarding Obama before you start on Hillary. #DemsInPhi…
205,notritahart,"[""annogalactic""]",RT @AnnoGalactic: Trump: American Bald Ego.
206,dickyirwin,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
207,aiden7757,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
208,ilikebigbuttand,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
209,aiden7757,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #ElectionFinalThoughts
Damn --Delusional Donnie-'
you are darker than Darth,
Dangerously Unfit!
@realDonaldTrump https://t.…"
210,holycrapchrix,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
211,melvinsroberts,"[""geffgefferson1""]","RT @GeffGefferson1: Republicans Think Movie Actors Are The People They Portray...No Wonder They Ended Up With Trump...
#BradleyCooper 
#DNC…"
212,ilikebigbuttand,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
213,worldofhashtags,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
214,dominicvalent,"[""geffgefferson1""]","RT @GeffGefferson1: Republicans Think Movie Actors Are The People They Portray...No Wonder They Ended Up With Trump...
#BradleyCooper 
#DNC…"
215,amandavgreen,"[""dreamweasel""]","RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…"
216,amandavgreen,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
217,hellieedwards,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
218,chrixmorgan,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
219,queenofthewo,"[""theclobra""]",RT @theclobra: Sorry in advance to my followers. It's #ElectionDay and I'm on pain killers from my surgery. Probably gonna hear some things…
220,hipppo_,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
221,jarrardnorman,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
222,claudia42kern,"[""theclobra""]",RT @theclobra: #IWantCreditFor making it out of the bad side of Chicago as a young poor black woman. - Melania Trump
223,toneporter,"[""therealezway""]",RT @therealezway: George Soros left is retooling the left's strategy to defeat Trump and that scares the vermin Alt-Right naturally. Don't…
224,bruciedublin,"[""midnight""]","Sorry, Trump's president, and you're  a Muslim. You can't enter past 2016. #TimeTravelerProblems @midnight"
225,puredavie,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
226,jasper_fly,"[""hardwick"",""midnight""]",Friendlier Stormtroopers than the RNC #ComicConIn5Words @midnight @hardwick
227,loragreeen,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
228,heyheyhailey,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
229,calebpaar,"[""theclobra""]",RT @theclobra: Wonder if it would be cheaper to pay for products to remove all those Trump/Deplorable stickers or just buying a new bumper…
230,aiden7757,"[""realdonaldtrump"",""geffgefferson1"",""remhq"",""midnight""]","RT @GeffGefferson1: #ImVotingBecause If @realDonaldTrump Wins...
@midnight 
@remhq 
https://t.co/optiOnvqSs"
231,giselleevns,"[""stormynights10""]","RT @stormynights10: #ObamasWishList Marry Donald Trump and become the First Lady, Obama Trump"
232,bruciedublin,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
233,amandavgreen,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic mi… 
234,curtisbigman,"[""chiefplan1""]",RT @chiefplan1: Don't kid yourself Delusional Donnie there arent tens of millions of Americans being written off--you dont have tha… 
235,kencannone,"[""midnight""]",Pinpointing the exact moment to go back and prevent Trump! #TimeTravelerProblems @midnight
236,hellieedwards,"[""chiefplan1"",""realdonaldtrump""]",RT @chiefplan1: #IDontThinkIWasMeantTo vote for a cheeto faced ferret wearing shitgibbon demogogue like unfit @realDonaldTrump https://t.co…
237,dannythehappies,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
238,loragreeen,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
239,claudia42kern,"[""midnight""]",Does Trump's head look like a rotten Jack O'Lantern? #ThingsHillaryGoogles @midnight
240,dominicvalent,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
241,cascaseyp,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
242,ilikebigbuttand,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #IForgotToSay
@realDonaldTrump
Release yr taxes or renounce yr citizenship Unfit unqualified unacceptable liar loser https:…"
243,ilikebigbuttand,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
244,bgarner2107,"[""midnight""]",The name Ken Bone was inspired by the ken doll for the fact trump has no penis. #KenBoneFacts @midnight
245,adrienne_gg,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
246,jarrardnorman,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
247,gab1aldana,"[""geffgefferson1""]","RT @GeffGefferson1: Republicans Think Movie Actors Are The People They Portray...No Wonder They Ended Up With Trump...
#BradleyCooper 
#DNC…"
248,chrixmorgan,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
249,charlesjharper,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
250,cascaseyp,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
251,loragreeen,"[""geffgefferson1"",""realdonaldtrump""]",RT @GeffGefferson1: A @realDonaldTrump Presidency #ReasonsHumansWillGoExtinct
252,curtisbigman,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
253,brightandglory,"[""midnight""]","Frankly, Scarlett, I don't give a Trump #OneWordOffMovieQuotes @midnight"
254,curtisbigman,"[""geffgefferson1""]","RT @GeffGefferson1: Republicans Think Movie Actors Are The People They Portray...No Wonder They Ended Up With Trump...
#BradleyCooper 
#DNC…"
255,loragreeen,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic mi… 
256,claudia42kern,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
257,brightandglory,"[""chiefplan1""]","RT @chiefplan1: #ThatDoesImpressMeMuch

Melania plagiarizing Michelle Obama &amp; Rick in the same speech.... https://t.co/CkvwrkShzg"
258,holycrapchrix,"[""midnight""]",Fewer supervillains than the RNC.  #ComicConIn5Words @midnight
259,kathiemrr,"[""midnight""]",@midnight Garbage Plate aka Donald Trump #PoliticalFoods
260,bgarner2107,"[""annogalactic""]",RT @AnnoGalactic: Donald Trump: defining deplorable for the poorly educated.
261,queenofthewo,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
262,curtisbigman,"[""chiefplan1""]","RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic ca… "
263,toneporter,"[""theclobra""]",RT @theclobra: Sorry in advance to my followers. It's #ElectionDay and I'm on pain killers from my surgery. Probably gonna hear some things…
264,calebpaar,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
265,lynsrodriguez,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
266,queenofthewo,"[""theclobra""]",RT @theclobra: Wonder if it would be cheaper to pay for products to remove all those Trump/Deplorable stickers or just buying a new bumper…
267,giselleevns,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #DontTellAnyoneBut I do believe Michelle Obama has a dick. https://t.co/meS4DArXUr
268,giselleevns,"[""dreamweasel""]","RT @Dreamweasel: POLL: 86% of Americans Blame Afghanistan War, Iraq War, 9-11 on Obama Administration

 #TrumpsFavoriteHeadline"
269,dominicvalent,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
270,bruciedublin,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
271,loragreeen,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
272,bgarner2107,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
273,claudia42kern,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
274,hellieedwards,"[""midnight"",""realdonaldtrump""]","Shut the fuck up, Donald.  @realDonaldTrump #OneWordOffMovieQuotes @midnight"
275,adrienne_gg,"[""midnight""]","RT @midnight: When you let Trump run hashtag wars, you get extremely original hashtags like tonight's. #FishTV! Play along. https://t.co/Iu…"
276,ilikebigbuttand,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
277,puredavie,"[""theclobra""]",RT @theclobra: Wonder if it would be cheaper to pay for products to remove all those Trump/Deplorable stickers or just buying a new bumper…
278,dominicvalent,"[""chiefplan1""]",RT @chiefplan1: Don't kid yourself Delusional Donnie there arent tens of millions of Americans being written off--you dont have tha… 
279,worldofhashtags,"[""dreamweasel""]","RT @Dreamweasel: Has the GOP selected a different burnt-orange overconfident halfwit racist to challenge Clinton in 2020

 #RejectedDebateT…"
280,traceyhappymom,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
281,giselleevns,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
282,calebpaar,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #ElectionFinalThoughts
Damn --Delusional Donnie-'
you are darker than Darth,
Dangerously Unfit!
@realDonaldTrump https://t.…"
283,hellieedwards,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic mi… 
284,bruciedublin,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
285,traceyhappymom,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
286,gab1aldana,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
287,jasper_fly,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
288,melvinsroberts,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
289,brightandglory,"[""midnight""]",@midnight  Convinced Ted Trump to help his son and give him $1million to get into the family business #TimeTravelerProblems
290,traceyhappymom,"[""therealezway""]","RT @therealezway: Chris Wallace has vowed not to fact-check this debate, which means that Trump has a ridiculous advantage"
291,amandavgreen,"[""therealezway"",""americaferrera""]",RT @therealezway: .@AmericaFerrera I have a plan to combat social stratification in school lunches. What do you think? #DemConvention https…
292,ilikebigbuttand,"[""geffgefferson1"",""realdonaldtrump""]",RT @GeffGefferson1: A @realDonaldTrump Presidency #ReasonsHumansWillGoExtinct
293,loragreeen,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
294,ilikebigbuttand,"[""chiefplan1""]","RT @chiefplan1: #ThatDoesImpressMeMuch

Melania plagiarizing Michelle Obama &amp; Rick in the same speech.... https://t.co/CkvwrkShzg"
295,daileyjadon,"[""dreamweasel""]","RT @Dreamweasel: Mr. Trump, if Hillary Clinton started Birtherism, why do 100% of Birthers support you?  

 #RejectedDebateTopics"
296,jmscoxxx,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
297,charlesjharper,"[""realdonaldtrump"",""geffgefferson1""]","RT @GeffGefferson1: The @realDonaldTrump Campaign!!!
https://t.co/WSPCJZduqg"
298,gab1aldana,"[""realdonaldtrump"",""annogalactic""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
299,queenofthewo,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
300,gab1aldana,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
301,traceyhappymom,"[""dreamweasel""]",RT @Dreamweasel: #HillarysHealth #HillarysBodyDouble https://t.co/G7UUdzeaLI
302,gab1aldana,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free… "
303,gab1aldana,"[""therealezway""]","RT @therealezway: Chris Wallace has vowed not to fact-check this debate, which means that Trump has a ridiculous advantage"
304,puredavie,"[""therealezway""]",RT @therealezway: Soros got people to wear #BlackLivesMatter shirts at Trump rallies to prove how uncivilized Trump supporters are.
305,cassieweltch,"[""midnight""]","RT @midnight: Clinton voters stuck I VOTED stickers on Susan B. Anthony’s grave. Trump voters to follow suit by going to Lincoln’s, and rol…"
306,heyheyhailey,"[""politicalant"",""midnight""]","RT @PoliticalAnt: #OverheardAtRNC: ""You've been a bad girl,Melania. I am going to have to give you a spanking.""-Trump @midnight"
307,jmscoxxx,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
308,holycrapchrix,"[""therealezway""]","RT @therealezway: Chris Wallace has vowed not to fact-check this debate, which means that Trump has a ridiculous advantage"
309,charlesjharper,"[""midnight""]",#OverheardAtRNC @midnight I think Trump Jr. plagiarized something besides his speech. https://t.co/bA65dyTgDJ
310,brightandglory,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
311,curtisbigman,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
312,kencannone,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
313,cascaseyp,"[""dreamweasel""]","RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…"
314,giselleevns,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
315,hipppo_,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
316,holycrapchrix,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
317,ilikebigbuttand,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
318,amandavgreen,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
319,holycrapchrix,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
320,curtisbigman,"[""chiefplan1""]","RT @chiefplan1: #ThatDoesImpressMeMuch

Melania plagiarizing Michelle Obama &amp; Rick in the same speech.... https://t.co/CkvwrkShzg"
321,catelinewatkins,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow with all the sniffing Trump was doing. Why didnt he offer any of that cocaine to Lester, so Lester…"
322,traceyhappymom,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free speech f…"
323,chrixmorgan,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
324,loragreeen,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
325,meggieoneil,"[""midnight""]",Can the Defenders beat Trump? #ComicConIn5Words @midnight
326,melvinsroberts,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
327,worldofhashtags,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #DontTellAnyoneBut I do believe Michelle Obama has a dick. https://t.co/meS4DArXUr
328,traceyhappymom,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
329,kathiemrr,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
330,traceyhappymom,"[""chiefplan1""]","RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic campaign a…"
331,heyheyhailey,"[""dreamweasel""]","RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…"
332,bgarner2107,"[""chiefplan1""]","RT @chiefplan1: Make it Viral folks! 
FBI finds no criminality in review of newly discovered Clinton emails https://t.co/AhhbllYFS0 via @nb…"
333,bgarner2107,"[""chiefplan1""]","RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic ca… "
334,bruciedublin,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
335,dickyirwin,"[""geffgefferson1"",""realdonaldtrump""]",RT @GeffGefferson1: A @realDonaldTrump Presidency #ReasonsHumansWillGoExtinct
336,mr_clampin,"[""annogalactic""]",RT @AnnoGalactic: Donald Trump: defining deplorable for the poorly educated.
337,curtisbigman,"[""theclobra""]","RT @theclobra: Division or Unity, Your Choice #ElectionDayIn5Words #StrongerTogether #ImWithHer"
338,claudia42kern,"[""midnight""]",A chicken in every POTUS #PoliticalFoods @midnight
339,jarrardnorman,"[""dreamweasel""]","RT @Dreamweasel: Mr. Trump, if Hillary Clinton started Birtherism, why do 100% of Birthers support you?  

 #RejectedDebateTopics"
340,amandavgreen,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
341,amandavgreen,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
342,kathiemrr,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #BadRejections
what these United States of America are going to do to unfit unqualified unacceptable @realDonaldTrump &amp; his…"
343,aiden7757,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
344,kathiemrr,"[""realdonaldtrump"",""annogalactic""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
345,dannythehappies,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
346,holycrapchrix,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic mi… 
347,melvinsroberts,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic misogynist…
348,amandavgreen,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
349,dominicvalent,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
350,loragreeen,"[""chiefplan1""]","RT @chiefplan1: Make it Viral folks! 
FBI finds no criminality in review of newly discovered Clinton emails https://t.co/AhhbllYFS0 via @nb…"
351,giselleevns,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
352,curtisbigman,"[""chiefplan1""]","RT @chiefplan1: Nice fantasy if true, but he embarrasses us daily to allies &amp; aids &amp; comforts enemies! Liar! SHAME! 
Unstable!Unfit! https:…"
353,curtisbigman,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie-racist facist xenophobe misogynist predator! UNFIT
Deplorable &amp; irredeemable!
Support him-
don't… "
354,dominicvalent,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free… "
355,kathiemrr,"[""chiefplan1""]",RT @chiefplan1: When real patriotic Americans talk about apologies we talk about Delusional Donnie-the racist fascist xenophobic misogynist…
356,bruciedublin,"[""geffgefferson1"",""realdonaldtrump""]","RT @GeffGefferson1: The @realDonaldTrump Campaign!!!
https://t.co/WSPCJZduqg"
357,puredavie,"[""theclobra""]",RT @theclobra: With Hillary as our President maybe we can rebuild some of our bridges so these deplorables may return to whence they came.…
358,worldofhashtags,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
359,mr_clampin,"[""theclobra""]","RT @theclobra: Division or Unity, Your Choice #ElectionDayIn5Words #StrongerTogether #ImWithHer"
