,troll,mentions,tweet
308,ramonasnails,"[""kylegriffin1""]","RT @kylegriffin1: Dianne Feinstein statement: ""The FBI has a history of extreme caution near Election Day...Today’s break from that t… "
309,youjustctrlc,"[""blicqer"",""bbc5live""]",RT @blicqer: ▶Nigel Farage to speak at Donald Trump rally https://t.co/EAIMKNNeBo @BBC5Live
310,brentmcclure275,"[""ggreenwald""]",RT @ggreenwald: Fascinating comparison: (a) % of Americans supporting Trump to (b) % of US journalists' time-line supporting Trump https://…
311,gwennythot,"[""alphakilla"",""talibkweli""]",RT @TalibKweli: And Trump is a virulent racist who is empowered by white supremacist KKK lovers like u @alphakilla https://t.co/TN8KL8xf2V
312,wokefromday1,"[""delo_taylor""]",RT @Delo_Taylor: Check out this thread for information on the Worker's World Party &amp; Monica Moorehead/Lamont Lilly 2016 POTUS ticket. https…
313,maymaymyy,"[""fusion""]",RT @Fusion: Ted Cruz phone banking for Donald Trump is the most pathetic thing we've seen all day https://t.co/HFF1fCw2mM https://t.co/qHlx…
314,cannonsher,"[""feministajones""]",RT @FeministaJones: Media Spin 101: Minimize numbers of people acting in protest. Effective tactic to stifle rebellion by minimizing pa… 
315,javonhidp,"[""fusion""]",RT @Fusion: Condoleezza Rice's response to Donald Trump calling her a 'bitch' is extremely relatable: https://t.co/fGNtOoiok0 https://t.co/…
316,stanleyparris,"[""amjoyshow""]","RT @amjoyshow: Donald Trump organization currently suing Washington, D.C. to pay less taxes on hotel: https://t.co/0RnDplc3MM | More Joy in…"
317,hiimkhloe,"[""nekeshiaj"",""talibkweli""]",RT @TalibKweli: Do u not see your own mentions @nekeshiaj or did u miss when I wrote this? https://t.co/QKdwfSnGDG https://t.co/4KKY7Ajb7N
318,susayung,"[""paix120"",""elonjames"",""mspackyetti"",""hillaryclinton""]","RT @paix120: They're not saying they want Trump, but that Clinton isn't a given. Work to be done there, Dems.
@elonjames @MsPackyetti @Hill…"
319,camosaseko,"[""blicqer""]",RT @blicqer: ▶ Tim Kaine baits Trump: ‘His own running mate threw him under the bus — that’s going to work on his head’… 
320,alecmooooody,"[""kylegriffin1""]","RT @kylegriffin1: New: 30 former GOP members of Congress come out against Trump, saying they won't vote for him. https://t.co/7H3Nyi5pDI"
321,jassscott,"[""joyannreid"",""maddow"",""cheeseheadlucy"",""docrocktex26"",""karoli"",""joanwalsh""]","RT @cheeseheadlucy: I. Can't. Even.

Who wants to explain this to Donald? @JoyAnnReid? @maddow? @joanwalsh? @Karoli? @docrocktex26?… "
322,imaswerve,"[""russian_starr""]",RT @Russian_Starr: Black journalists: RT if you Trump's campaign has dodged interviews with you. Like if he has granted you a sitdown.
323,blmsoldier,"[""revjjackson"",""cobracommans"",""keithellison""]","RT @CobraCommans: Trump begins selecting ultra-right cabinet #DLC/DNC green light @keithellison @RevJJackson 
https://t.co/woIiTnYtsz"
324,ogdeandre,"[""kylegriffin1""]","RT @kylegriffin1: ""Trump and I disagree on many things, but I like how generous he is. Just last Friday, he handed me this election."" https…"
325,paulinett,"[""mspackyetti""]",RT @MsPackyetti: I rode w a single mom yesterday who said she was voting for HRC because of that fact. Is she dumb for knowing Trump don't…
326,bigboyjasiah,"[""danteb4u""]","RT @DanteB4u: A most disgusting ploy by Trump, his campaign, &amp; the #GOP: Trying to normalize deviant behavior as mere locker room talk. #Un…"
327,ogdeandre,"[""kiminbushwick"",""sherlock_scones"",""talibkweli""]","RT @TalibKweli: That's what the GOP was on word RT @Sherlock_Scones: @Kiminbushwick @TalibKweli For me, personally, the bigger picture was…"
328,mrmoraan,"[""blicqer"",""thebpdshow""]",RT @blicqer: How Much Is Trump Profiting from Renting to his Campaign Office? https://t.co/19UFyge6O5 via @TheBpDShow
329,drmichaelgarcia,"[""talibkweli"",""ipsitu""]",RT @TalibKweli: Same reason your bitch ass here camped in my mentions cuz it's a free fucking country @ipsitu https://t.co/8Z7CDPJ5DU
330,randolphburrr,"[""fusion""]","RT @Fusion: ""The determination was made that [Kasich didn't] have the power to suspend [the open carry] law [for the #RNCinCLE]"" https://t.…"
331,blmsoldier,"[""mrnegromilitant"",""ezad60"",""emergagent"",""potus""]","RT @emergagent: @EZAD60 @MrNegroMilitant @POTUS Unfortunately he got sucked into the ""White"" House ideal of America, &amp; the inside popularit…"
332,chadsloyer,"[""thedailybeast"",""ggreenwald""]","RT @ggreenwald: Even though virtually every person whom @TheDailyBeast smeared as a ""Trump supporter"" said they are not, they keep promotin…"
333,nojonathonno,"[""blicqer"",""foxnewspolitics""]",RT @blicqer: ► Some in the media dig in against 'normalizing' Donald Trump https://t.co/F7EG5DtD1y @FoxNewsPolitics https://t.co/WOw6fyhR80
334,johnievogue,"[""blicqer"",""bbc5live""]",RT @blicqer: ▶Mother of US Muslim soldier hits back at Trump over speech silence https://t.co/vP9nrlBLQr @BBC5Live
335,robertebonyking,"[""fusion""]","RT @Fusion: ""He's not welcome into our country.""

This waitress in Mexico City is anything but excited about Trump's visit: https://t.co/Xi…"
336,camosaseko,"[""blicqer"",""rawstory""]",RT @blicqer: ▶ Clinton’s 1992 War Room was an engine of anti-establishment politics https://t.co/d5FrtBsTWU @RawStory https://t.co/gFERgTmd…
337,javonhidp,"[""fusion""]",RT @Fusion: The Zapatistas have a revolutionary plan to shake up Mexico's presidential election: https://t.co/jrBucjsSp7 https://t.co/EP5M7…
338,ravenicholson,"[""nayaknomi"",""blicqer""]",RT @NaYaKnoMi: had to block @blicqer because they're starting to act like they're taking money from gop/putin with this hillary and bill ha…
339,stanleyparris,"[""talibkweli""]",RT @TalibKweli: You support a white supremacist like Trump but u ain't white? Hmmm. https://t.co/96gGEI1z8o
340,brianaregland,"[""kylegriffin1""]",RT @kylegriffin1: Here's Trump mocking one of his accusers today — saying his supporters wouldn't allow themselves to be assaulted th… 
341,maymaymyy,"[""realdonaldtrump"",""revjjackson"",""mistamazemusic"",""joyannreid"",""amjoyshow""]","RT @MistaMazeMusic: @amjoyshow

@JoyAnnReid rocks! TRUMP supporter tried to use @RevJJackson's old words to support @realDonaldTrump, JOY c…"
342,bigboyjasiah,"[""newpghcourier"",""blicqer""]",RT @blicqer: Guest Editorial…Trump insults voters of Pennsylvania https://t.co/mKd9WroE9e via @NewPghCourier https://t.co/WwlzTBljn0
343,siccerthanyou,"[""rawstory""]",RT @RawStory: College Republicans are ‘afraid of Trump’ — so ‘deplorable’ student groups are taking their place… 
344,jaydaastonishin,"[""blicqer"",""foxnews""]",RT @blicqer: ▶ CHARITY CONCERNS: Leaked emails show scandals worry Clinton backers https://t.co/l9Z4zguy1M @FoxNews https://t.co/oqvGsvM3Re
345,melanymelanin,"[""mintpressnews"",""blicqer""]",RT @blicqer: ▶ Standing Rock: New Arrests As Key Obama Admin Decision Looms https://t.co/LnedTTIsZY @MintPressNews https://t.co/SBybRrgozI
346,paulinett,"[""blicqer"",""nydailynews""]","RT @blicqer: ▶ Trump insists he, Hillary Clinton take drug tests before debate https://t.co/uP0dTFO7dl @NYDailyNews https://t.co/vE2k2AnMQm"
347,liljordamn,"[""ezad60"",""emergagent"",""potus"",""mrnegromilitant""]","RT @emergagent: @EZAD60 @MrNegroMilitant @POTUS Unfortunately he got sucked into the ""White"" House ideal of America, &amp; the inside popularit…"
348,damanimiles,"[""kylegriffin1""]","RT @kylegriffin1: Clinton camp enlists Salma Hayek for new video aimed at Latino voters: ""We can prove that we are a mighty community… "
349,chadsloyer,"[""citylifematt"",""sf49ersfan5249"",""talibkweli"",""realdonaldtrump"",""mike_burskey"",""larryelder""]","RT @TalibKweli: RT @citylifematt: @sf49ersfan5249 @mike_burskey @larryelder @realDonaldTrump 👋🏻 not sure how you define ""many"", https://t.c…"
350,johnievogue,"[""therealnews"",""blicqer""]",RT @blicqer: ▶ Affordable Housing Trust Fund Tacked onto Baltimore’s Election Day Ballot https://t.co/MKrHxOSfNC @TheRealNews https://t.co/…
351,brianaregland,"[""fusion""]","RT @Fusion: The real rapist came forward. The Central Park Five were exonerated. Decades later, Donald Trump still refuses to b… "
352,wokefromday1,"[""thedailyedge"",""gop""]",RT @TheDailyEdge: If only Obama and the CDC had known about the threat of #Zika and asked the @GOP Congress for funding months ago! Oh that…
353,javonhidp,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Nancy Isenberg: Donald Trump’s perverse class war https://t.co/yEPBG4sRnd @NYDailyNews https://t.co/1eqnTNJPIC
354,kaydenmelton,"[""fusion""]","RT @Fusion: ""The determination was made that [Kasich didn't] have the power to suspend [the open carry] law [for the #RNCinCLE]"" https://t.…"
355,fightm_d_b,"[""kylegriffin1""]",RT @kylegriffin1: Donald Trump Jr. pushing out Alex Jones conspiracy theory ------&gt; https://t.co/GpIx0oK9j7
356,melanymelanin,"[""dnainfony"",""blicqer""]","RT @blicqer: ▶ Trump Emboldened Fox News to Air 'Racist' Chinatown Segment, Pols Say https://t.co/w9BccBB0y4 @DNAinfoNY https://t.co/iStzqo…"
357,siccerthanyou,"[""thebpdshow"",""blicqer""]",RT @blicqer: How Much Is Trump Profiting from Renting to his Campaign Office? https://t.co/19UFyge6O5 via @TheBpDShow
358,wokefromday1,"[""lele5417"",""docrocktex26"",""j_laumann""]","RT @LeLe5417: @j_laumann @docrocktex26 oh he's a cutie, &amp; cutely gave Pence his hat. Lying with style is the new bar the media set!! TAXES,…"
359,imissobama,"[""transgriot""]",RT @TransGriot: It's a wonderful day for American democracy when racist &amp; unjust laws like the GOP Voter ID ones get struck down as unconst…
360,camosaseko,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶ Michelle Obama 'ape in heels' post causes outrage https://t.co/TN4lOH4qcX @BBC5Live https://t.co/Hd8aRkLDax
361,javonhidp,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ Dear Liberals: Trump is Right https://t.co/rSCDwVi43S @NatCounterPunch https://t.co/Eu2tVp9iV4
362,javonhidp,"[""charlesmblow""]","RT @CharlesMBlow: Listen idiot, I'm an opinion writer. Opinions r by nature/design not objective but subjective. Pls get a dictionary… http…"
363,ilovesarahrich,"[""peterock"",""talibkweli""]","RT @TalibKweli: RT @PeteRock: Sad! Smfh #Repost @talibkweli
・・・
Trump supporting wanna be Wu tang affirmative action rapper… https://t.co/H…"
364,jaydaastonishin,"[""talibkweli""]",RT @TalibKweli: I am. And? https://t.co/2S05GnsLLM
365,javonhidp,"[""djolder""]",RT @djolder: 🙌 https://t.co/Pla4CmE8Y9
366,ramonasnails,"[""hwmag"",""blicqer""]",RT @blicqer: Anti-Trump Protesters Shut Down Midtown Manhattan https://t.co/AyQjpruXNU @HWMag https://t.co/8O8gLpf0ct
367,johnieboycooks,"[""fusion""]","RT @Fusion: ""He's not welcome into our country.""

This waitress in Mexico City is anything but excited about Trump's visit: https://t.co/Xi…"
368,javonhidp,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Donald Trump has photo op with Floyd Mayweather https://t.co/upMQfxx8J3 @NYDailyNews https://t.co/hR4C7U9t6n
369,melanymelanin,"[""blicqer"",""theintercept""]",RT @blicqer: ▶ Fewer Polluters Criminally Prosecuted as EPA Cowers From GOP Attacks https://t.co/qgkZeVQDh9 @TheIntercept https://t.co/nEai…
370,jeanuttella,"[""blicqer"",""joeljamescomedy""]",RT @blicqer: When Trump Writes your Speech https://t.co/8VS00QROjc via @JoelJamesComedy
371,damanimiles,"[""rawstory""]",RT @RawStory: Trump’s own bankruptcy lawyers say he lies so much they could only meet with him in pairs https://t.co/hT6TReDFJb https://t.c…
372,drmichaelgarcia,"[""crisuits"",""talibkweli""]",RT @TalibKweli: RT @crisuits: Whats wrong with loving Putin? He is a great guy. (But #MAGA tho right? FOH)
373,pamblmdaniels,"[""potus"",""transgriot""]",RT @TransGriot: THe GOP is STILL mad at @POTUS https://t.co/uSkA7Gvacs
374,jaydaastonishin,"[""blicqer""]",RT @blicqer: ▶ GOP in disarray: Trump’s Virginia state chairman fired for staging protest in front of RNC headquarters… 
375,chadsloyer,"[""deray""]",RT @deray: he actually said this? or is this a joke? https://t.co/8WpgVNyYOz
376,nojonathonno,"[""chidefender"",""blicqer""]",RT @blicqer: Donald Trump Feeds The Far Right ‘Red Meat’ With Divisive Rhetoric https://t.co/Ikr0qsC6MT @ChiDefender https://t.co/Y3GsFQ0tzd
377,malloryjared,"[""russian_starr""]",RT @Russian_Starr: Black journalists: RT if you Trump's campaign has dodged interviews with you. Like if he has granted you a sitdown.
378,cornellburchet,"[""djolder""]",RT @djolder: I was wondering when the internal backlash would start on DT's immigration flip-flopeando https://t.co/8goTW8aFlK
379,nojonathonno,"[""blicqer"",""wusa9mornings""]",RT @blicqer: ▶ Clinton emails shake up presidential... https://t.co/R35QvNkAeX @WUSA9Mornings https://t.co/2g8ZinKbNK
380,alecmooooody,"[""docrocktex26""]","RT @docrocktex26: Hillary's way ahead in the popular vote, votes are STILL being counted, but folk are pretending Trump won only b/c the *s…"
381,jadonhutchinson,"[""mrnegromilitant""]","RT @MrNegroMilitant: Clinton Responsible For ISIL In The Middle East: Dr. Jill Stein.

https://t.co/LqGv6XQpm2 https://t.co/FNxsDLRej2"
382,randolphburrr,"[""thedailybeast"",""kylegriffin1""]","RT @kylegriffin1: The Trump Foundation scandal is about to go national, as other states could follow the NY AG's lead —@thedailybeast… "
383,ramonasnails,"[""foxnews"",""blicqer""]",RT @blicqer: ▶ CHALLENGE DODGED Emails show Clinton camp worried about Biden run https://t.co/94682jF6Lc @FoxNews https://t.co/imKS6DLOTJ
384,jaydaastonishin,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ KING: Shame on America for allowing Donald Trump to get this far https://t.co/iVYWByFBhP @NYDailyNews https://t.co/9x0fZhEjRz
385,melanymelanin,"[""blicqer""]",RT @blicqer: ▶ GOP sets up Monday conference call with RNC officials to calm panicking party members https://t.co/Ui6JiXKz7o @RawStory http…
386,staywoke88,"[""docrocktex26"",""opinionrupter""]","RT @Opinionrupter: @docrocktex26 
Rigged Elections is a Patented Talking Point of Despots Re: Putin
https://t.co/U8LsANg4EP"
387,antonhayhay,"[""rawstory""]","RT @RawStory: Warren calls BS on Trump’s VP attacks: ‘I’m right where I want to be, calling you out’ https://t.co/9PLA4sksfQ https://t.co/R…"
388,imissobama,"[""revjjackson"",""mindofmelita""]","RT @mindofmelita: ""The first issue, most fundamental issue, in the struggle is to protect my right to vote."" @RevJJackson #JCSU #Vote2016"
389,jaydaastonishin,"[""blicqer"",""nworeport""]","RT @blicqer: ▶ @NWOReport: House Speaker Ryan pressured by conservatives, Trump backers https://t.co/Hqq5YIRByp"
390,hiimkhloe,"[""livenewscloud"",""blicqer""]",RT @blicqer: ▶ Obama To Veto Bill Allowing 9/11 Lawsuits Against Saudi Arabia https://t.co/tJAmF8IcnG @LiveNewsCloud https://t.co/kb1VrAuPyW
391,bricegeller,"[""fusion""]",RT @Fusion: Father of Muslim soldier who shamed Donald Trump demands that the GOP reject his bigotry https://t.co/R3zGE6Ksc8 https://t.co/G…
392,brianaregland,"[""deray""]",RT @deray: he actually said this? or is this a joke? https://t.co/8WpgVNyYOz
393,jadonhutchinson,"[""docrocktex26"",""jimcallcut"",""hoosyourdaddy99""]",RT @jimcallcut: @Hoosyourdaddy99 @docrocktex26 Still trying to understand his outrage at companies moving work out of USA when no Trump stu…
394,camosaseko,"[""blicqer"",""eurweb""]",RT @blicqer: Laila Ali Refuses To Support #BLM &amp; Vivica A. Fox To Play First Black Female POTUS https://t.co/YylxLRSgvy @EurWeb https://t.c…
395,alecmooooody,"[""thebpdshow"",""blicqer""]","RT @blicqer: Live! Korryn Gaines, James Baldwin, NYC's Bratton steps down, Hillary/Trump Polls, News &amp; Politics!:  https://t.co/stAE27kchg…"
396,cannonsher,"[""feministajones""]",RT @FeministaJones: Trump supporters won't care abt his ties to Russia bc many aren't able to articulate the history of US/Russia relations…
397,pamblmdaniels,"[""danteb4u""]","RT @DanteB4u: Don't underestimate Trump, #GOP, &amp; their supporters. Guarantee their defeat by exercising your right to vote before… "
398,javonhidp,"[""blicqer""]",RT @blicqer: New Clinton Ad Featuring Cast Of ‘Empire’ Highlights Importance Of This Year’s Election https://t.co/kSTIiiOZg8… 
399,javonhidp,"[""fusion""]",RT @Fusion: Not even the Kardashians are safe from Donald Trump's disgusting sexism https://t.co/2COkymHBxA https://t.co/XiYuljUO4r
400,camosaseko,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ Americal Liberals Unleashed the Trump Monster https://t.co/29u851Thgq @NatCounterPunch https://t.co/9VfI46rrIu
401,maymaymyy,"[""docrocktex26"",""pzriddle""]",RT @pzriddle: @docrocktex26 A feminist in dad jeans! Kaine is exactly my demographic.
402,melanymelanin,"[""blicqer"",""bipartisanism""]",RT @blicqer: ▶ Donald Trump Threatens To Assassinate MAJOR World Leader (DETAILS) https://t.co/T4pUEb5mqN @Bipartisanism https://t.co/GD9Pv…
403,stanleyparris,"[""fusion""]","RT @Fusion: ""The determination was made that [Kasich didn't] have the power to suspend [the open carry] law [for the #RNCinCLE]"" https://t.…"
404,javonhidp,"[""mrnegromilitant""]","RT @MrNegroMilitant: Anti-Semitism Is Rapidly Rising. All Thanks To Trump Supporters.

https://t.co/F56TO1k6H9 https://t.co/Bzem3BpEsH"
405,ravenicholson,"[""javega72"",""talibkweli""]",RT @TalibKweli: No I'm a private citizen who don't work for u or owe u any explanations. Fuck u gonna do abt it? @javega72 https://t.co/j9k…
406,wokefromday1,"[""docrocktex26"",""sallyalbright"",""duckpon12""]","RT @Duckpon12: @SallyAlbright @docrocktex26 Young Tim Kaine, Old Tim Kaine. I like all the Tim Kaines. :-)"
407,imissobama,"[""kylegriffin1""]",RT @kylegriffin1: Committee to Protect Journalists: Donald Trump is a threat to press freedom. https://t.co/wJ6U3Rmv9X
408,blacknewsoutlet,"[""shaunking""]",".@ShaunKing: American police departments are revenue generating monsters, policing for profit must be banned.
https://t.co/50mJQZK8jA"
409,ten_gop,"[""deray""]",Just a reminder: #BlackLivesMatter leader @deray lives in home owned by Soros! https://t.co/D6CtUVyqk4
410,javonhidp,"[""blicqer""]",RT @blicqer: ▶ Black voters shrug off Trump voting threats: ‘You’re only driving more Democrats to the polls’… 
411,stanleyparris,"[""remedyross"",""icalrep"",""talibkweli""]",RT @TalibKweli: RT @iCalRep: @RemedyRoss always manage to find away to blame Obama.. smh.. https://t.co/9JWuKMJUX6
412,javonhidp,"[""blicqer"",""natcounterpunch""]","RT @blicqer: ▶ Trump’s Decent Willing Executioners, Liberally Explained https://t.co/fA1pUfy6LI @NatCounterPunch https://t.co/oLcL2VUK8e"
413,nojonathonno,"[""blicqer"",""crg_crm""]",RT @blicqer: ▶ Clinton Emails Reveal Direct US Sabotage Of Venezuela https://t.co/BJGB4GllpU @CRG_CRM
414,watchmewalkin,"[""transgriot""]",RT @TransGriot: It's a wonderful day for American democracy when racist &amp; unjust laws like the GOP Voter ID ones get struck down as unconst…
415,ameliebaldwin,"[""ggreenwald""]",RT @ggreenwald: Remember the intense uproar over Trump's questioning of election legitimacy? Seems some Dems are now flirting with… 
416,ramonasnails,"[""newpghcourier"",""blicqer""]",RT @blicqer: Is Donald Trump preparing to lose? https://t.co/DL1CZTpVRc @NewPghCourier https://t.co/Q09B3k9MYw
417,bigboyjasiah,"[""owenlpeacock"",""talibkweli""]",RT @TalibKweli: Trump don't know shit abt Islam he scared of brown middle easterners. No what threat u referring to? @owenlpeacock https://…
418,ameliebaldwin,"[""rawstory""]",RT @RawStory: Seth Meyers mocks Trump’s Miss Universe obsession: ‘Nothing creepier than hanging around beauty pageants’ https://t.co/kktPVV…
419,brentmcclure275,"[""pzriddle"",""docrocktex26""]",RT @pzriddle: @docrocktex26 A feminist in dad jeans! Kaine is exactly my demographic.
420,javonhidp,"[""natturnerx65"",""blicqer""]","RT @natturnerx65: @blicqer  There is NO WAY-----that Donald Trump could be worse for black people than Obama

Based on these things https:/…"
421,robertebonyking,"[""thedailyedge""]",RT @TheDailyEdge: Not sufficiently impressed w/the dignity &amp; poise Obama has displayed consistently for 7 1/2 years? Compare it to Trump ov…
422,ramonasnails,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ Elevating Trump https://t.co/5XDYE33us0 @NatCounterPunch https://t.co/ihqRGTremf
423,melanymelanin,"[""blicqer""]",RT @blicqer: ▶ Hindus for Trump — and the connection between the Donald and the sacred syllable ‘om’ https://t.co/pwHwXC15eB @RawStory http…
424,javonhidp,"[""feministajones""]","RT @FeministaJones: CNN has a ticker counting down to when Pres. Obama speaks to Trump. 

Please don't tell me anything about the media… "
425,paulinett,"[""delo_taylor"",""raniakhalek""]","RT @Delo_Taylor: #PodestaEmails show donors drive Hillary Clinton's pro-Israel views. (via @RaniaKhalek) #FreePalestine #IntelGroup
https:/…"
426,javonhidp,"[""transgriot"",""thedemocrats""]",RT @TransGriot: Dear DC  @TheDemocrats   I want to see in January the same Massive Resistance 2.0 the GOP aimed at POTUS Obama for 8 yrs us…
427,queennarielle,"[""realdonaldtrump"",""russian_starr""]","RT @Russian_Starr: .@realDonaldTrump You LOVE, LOVE the media. You always have time for us. Well, at least SOME of us. When do you talk to…"
428,ramonasnails,"[""blicqer""]",RT @blicqer: ▶ The Ascendance of Hillary Clinton and Paul Ryan Will Mark a Win for Big Business and Wall Street… 
429,jaydaastonishin,"[""blicqer""]",RT @blicqer: Who Should Lead The DNC? Rep. Ellison &amp; SC Dem Chair Harrison Share Their Plans For Transforming The…… 
430,johnnymarch_,"[""blicqer"",""bbc5live""]",RT @blicqer: ▶Mother of US Muslim soldier hits back at Trump over speech silence https://t.co/vP9nrlBLQr @BBC5Live
431,onemightyfish,"[""shaunking""]","RT @ShaunKing: So, Jaime Harrison has said he's running to be the head of the DNC. Decided to look him up

He is literally a lobby… "
432,camosaseko,"[""blicqer""]","RT @blicqer: ▶ COLLISION COURSE Sanctuary cities ready for fight, but Trump WH can hit them in wallets https://t.co/LRP2Kbbe0y… "
433,imapharrelfake,"[""thedailybeast"",""kylegriffin1""]","RT @kylegriffin1: The Trump Foundation scandal is about to go national, as other states could follow the NY AG's lead —@thedailybeast… "
434,queennarielle,"[""sallyalbright"",""docrocktex26"",""duckpon12""]","RT @Duckpon12: @SallyAlbright @docrocktex26 Young Tim Kaine, Old Tim Kaine. I like all the Tim Kaines. :-)"
435,jeanuttella,"[""rawstory""]",RT @RawStory: Trump’s own bankruptcy lawyers say he lies so much they could only meet with him in pairs https://t.co/hT6TReDFJb https://t.c…
436,jaydaastonishin,"[""blicqer"",""bbc5live""]","RT @blicqer: ▶ US election 2016: We are behind, says Trump campaign https://t.co/7aT5Nux5b9 @BBC5Live https://t.co/BNTRpYczeE"
437,ravenicholson,"[""deray""]",RT @deray: It's wild watching people try to defend Trump by invoking hip-hop. These are epic reaches. https://t.co/iF9xW8MhuH
438,ramonasnails,"[""blicqer"",""alternet""]",RT @blicqer: ▶ Donald Trump's Very Weird Russia Thing https://t.co/3TEUKHex3r @AlterNet https://t.co/yluJNZ1j7V
439,jani_s_jac,"[""thedailyedge""]","RT @TheDailyEdge: ""The timing of these stories is very suspicious"" -- Donald Trump, 1996 https://t.co/Rn6puPR1kE"
440,rh0lbr00k,"[""gogottagonow"",""hiilaryclinton"",""realdonaldtrump"",""revjjackson"",""barackobama"",""potus""]",RT @GoGottaGoNow: Considering @HiilaryClinton started it. She needs to apologies for it RevJackass ;) @RevJJackson @realDonaldTrump @POTUS…
441,pamblmdaniels,"[""docrocktex26""]","RT @docrocktex26: Go ahead, make his day, America. https://t.co/IjlOJwwP8T"
442,zzzacharyzzz,"[""thebpdshow"",""blicqer""]",RT @blicqer: How Much Is Trump Profiting from Renting to his Campaign Office? https://t.co/19UFyge6O5 via @TheBpDShow
443,rosieonfleek,"[""fusion""]",RT @Fusion: Obama says Kaepernick is 'exercising his constitutional right' with protest https://t.co/eXeGNmvUoG https://t.co/gHZ7BVYPpN
444,samirgooden,"[""transgriot""]",RT @TransGriot: What anti-Hillary lie is going to be blown up next? https://t.co/roF6ioAvqb
445,javonhidp,"[""fusion""]",RT @Fusion: This guy got a tattoo of Donald Trump sucking a giant... https://t.co/Vlfof2T4Gc https://t.co/S0rLyzaaEf
446,cannonsher,"[""feministajones""]","RT @FeministaJones: Me: Well, you know, Obama *was* the Commander in Chief
Y'all: SHE ACTED INDEPENDENTLY SHE DIDNIT ALL BY HERSELF AND… "
447,ogdeandre,"[""talibkweli"",""twitashitter""]",RT @TalibKweli: Ask yourself why Milo and Trump so many supporters are supporting YOU @twitashitter this ain't the only one https://t.co/tA…
448,antonhayhay,"[""blogliberally"",""marcbroc"",""docrocktex26""]","RT @MarcBroc: The Trump Effect. TX AG, ME Governor, D Duke, etc. #VoteBlueDownBallot #VoteBlue @BlogLiberally @docrocktex26… "
449,jani_s_jac,"[""rawstory""]",RT @RawStory: ‘I will tattoo a swastika on your head’: Seattle councilwoman threatened after calling for Trump protests… 
450,nojonathonno,"[""blicqer""]",RT @blicqer: ▶ The Top 5 Most Urgent Climate Change Election Stories the Mainstream Media Suppressed https://t.co/ADD7ImuKQU… 
451,pamblmdaniels,"[""docrocktex26"",""tony10xup""]",RT @tony10Xup: @docrocktex26 Trump wouldn't let black people count his money in casinos wouldn't give any of us Italians time of day if not…
452,johnnymarch_,"[""revjjackson"",""realdonaldtrump"",""mistamazemusic"",""amjoyshow"",""joyannreid""]","RT @MistaMazeMusic: @amjoyshow

@JoyAnnReid rocks! TRUMP supporter tried to use @RevJJackson's old words to support @realDonaldTrump, JOY c…"
453,travisrespek,"[""talibkweli""]",RT @TalibKweli: I am happy Harris doesn't support Trump. But he still enables white supremacy w his islamophobia. Next. https://t.co/AArzRN…
454,ilovesarahrich,"[""blicqer"",""bipartisanism""]",RT @blicqer: George W. Bush Verbally Assaults Donald Trump During Private Fund... https://t.co/pNIBvfgDS7 via @Bipartisanism https://t.co/U…
455,nojonathonno,"[""blicqer""]",RT @blicqer: ▶ POWER PLAY: Clinton pal helped fund campaign of candidate whose FBI husband oversaw email probe… 
456,missourinewsus,"[""revjjackson""]",.@RevJJackson calls Trump bad names. Was there name calling when he donated $$ 2 both organization 4 BLKS? https://t.co/zez6ooOTEr
457,regieblackmon,"[""talibkweli""]",RT @TalibKweli: There's all types of wrong going on in this tweet. https://t.co/bE7X8EfFvZ
458,melanymelanin,"[""ogrobgee"",""_thecivilright"",""blicqer"",""thevoicenews""]",RT @OgRobGEE: @_TheCivilRight @blicqer @TheVoiceNews hope it don't have to go through the Clinton foundation...
459,claypaigeboo,"[""fusion""]","RT @Fusion: “Mexico doesn’t want [Trump], Mexico will never trust him. Let’s not let him use our country for his own interests."" https://t.…"
460,travisrespek,"[""revjjackson"",""hillaryclinton"",""jasoncollins98""]",RT @jasoncollins98: Campaigning for @HillaryClinton in #NorthCarolina with @RevJJackson. #WeAreWithHer! 🇺🇸🇺🇸🇺🇸#StrongerTogether https://t.c…
461,melanymelanin,"[""blicqer""]",RT @blicqer: ▶ Neofascist Trump Appointee Bannon Says Anger’s Good ‘If You’re Fighting to Take This Country Back’ https://t.co/1Db84adkpW @…
462,edmundrjr,"[""hillaryclinton"",""delo_taylor""]",RT @Delo_Taylor: At the rate this is going @HillaryClinton apologists are going to be voting for neoliberalism to avoid neofascism until th…
463,melanymelanin,"[""delo_taylor""]",RT @Delo_Taylor: Statement from Paul Manafort on his resignation &amp; the current state of the Donald Trump campaign: https://t.co/mAkanskp2H
464,baobaeham,"[""fusion""]","RT @Fusion: A wall we can all get behind.

A wall of taco trucks is serving up tacos and registering new voters outside a Trump… "
465,drmichaelgarcia,"[""kylegriffin1"",""therealkamie""]","RT @kylegriffin1: Fmr. Miss Teen USA @TheRealKamie tells her story about Trump:
https://t.co/CgBxIXawn2"
